CLKComplicationFamily,ComplicationFamily_Name,ComplicationFamily_Picture_URL,ComplicationFamily_URL,WatchFace_Name,WatchFace_Picture_URL
"4","circularSmall","https://docs-assets.developer.apple.com/published/d41c78359f/5ef20af0-f1fa-4091-b71d-ea6f9f0e5488.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/circularsmall","Activity Analog","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/c8d4b71ca2dc3b450da7595e9cdf5d8b.png"
"3","utilitarianLarge","https://docs-assets.developer.apple.com/published/722cecf8bb/d001ca54-d48e-4a70-96cd-ae17812e3c1f.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitarianlarge","Activity Analog","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/c8d4b71ca2dc3b450da7595e9cdf5d8b.png"
"4","circularSmall","https://docs-assets.developer.apple.com/published/d41c78359f/5ef20af0-f1fa-4091-b71d-ea6f9f0e5488.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/circularsmall","Activity Digital","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/19bd94f2f7d665c86991a015b21adc54.png"
"3","utilitarianLarge","https://docs-assets.developer.apple.com/published/722cecf8bb/d001ca54-d48e-4a70-96cd-ae17812e3c1f.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitarianlarge","Activity Digital","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/19bd94f2f7d665c86991a015b21adc54.png"
"2","utilitarianSmall","https://docs-assets.developer.apple.com/published/c5a3bdc689/c31cf732-8c31-4e23-9280-a8af646aea31.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitariansmall","Chronograph","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/dcb73160693d92601e71b47c03b5fead.png"
"8","graphicCorner","https://docs-assets.developer.apple.com/published/b2e39d7814/7b657bb7-b90d-403d-99c7-14414c7a48b3.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/graphiccorner","Chronograph Pro","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/8163de8f0b4165f32fb89eac3f7ce4d0.png"
"4","circularSmall","https://docs-assets.developer.apple.com/published/d41c78359f/5ef20af0-f1fa-4091-b71d-ea6f9f0e5488.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/circularsmall","Color","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/4e90f9812a67e393326d2faa7c26a434.png"
"8","graphicCorner","https://docs-assets.developer.apple.com/published/b2e39d7814/7b657bb7-b90d-403d-99c7-14414c7a48b3.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/graphiccorner","Count Up","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/509e0ce50b3bbcfd52c1f1599dfaff43.png"
"8","graphicCorner","https://docs-assets.developer.apple.com/published/b2e39d7814/7b657bb7-b90d-403d-99c7-14414c7a48b3.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/graphiccorner","GMT","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/e88dc3cf55f32954b4f26220a63ff95b.png"
"10","graphicCircular","https://docs-assets.developer.apple.com/published/bae6ce0743/1be68284-475b-4d66-a958-1df9d78224b4.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/graphiccircular","Infograph","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/14256cce14ae2ff9185b69de972a6d73.png"
